RADZIHOVSKY, L
STOOF, TH
BAUER, GEW
NAZAROV, YV
MANINI, N
BORKOWSKI, LS
HIRSCHFELD, PJ
PUTIKKA, WO
LUBEREK, J
MURPHY, SQ
EISENSTEIN, JP
PFEIFFER, LN
WEST, KW
HEFFNER, RH
KUROSKY, T
KOSTUR, VN
BHATTACHARJEE, JK
FERRELL, RA
LIEB, E
LOSS, M
ALI, AA
NISHIYAMA, Y
MONTAMBAUX, G
KURCHAN, J
KAGAN, DM
ELMFORS, P
LAUTRUP, B
SKAGERSTAM, B
KASHURNIKOV, VA
PODLIVAEV, AI
PROKOFEV, NV
SVISTUNOV, BV
THEODORAKOPOULOS, N
IENGO, R
JUG, G
BRAUN, D
PAGONABARRAGA, I
BAFALUY, J
BOE, OL
GALPERIN, Y
CHAO, KA
SCHWEITZER, L
CHEN, YC
MANDAL, SS
RAVISHANKAR, V
ZHAREKESHEV, IK
FALCIONI, M
BARASH, YS
GALAKTIONOV, AV
SVIDZINSKY, AA
GOHMANN, F
WADATI, M
YOKOYAMA, H
OGATA, M
MALINOWSKI, S
OLSSON, P
DUFFY, D
MOREO, A
FOGLER, MM
SHKLOVSKII, BI
MODINE, NA
BECCARIA, M
AMARAL, LAN
BARABASI, AL
KUSUNOSE, H
MIYAKE, K
SHIMIZU, Y
SAKAI, O
MUZYKANTSKII, BA
KHMELNITSKII, DE
BYCZUK, K
SPALEK, J
LEE, DKK
MELLO, EVLD
MAIER, RS
STEIN, DL
SZALMA, F
WISEMAN, S
GUSYNIN, VP
SHOVKOVY, IA
SIMONS, BD
FUJIMOTO, S
ERCOLESSI, E
MORANDI, G
NAPOLI, F
PIERI, P
ANDERSON, PW
KHVESHCHENKO, D
PERKOVIC, O
DAHMEN, K
SETHNA, JP
PARK, KA
ZHANG, L
KRAMER, B
KANE, CL
GOULD, MD
HIBBERD, KE
LINKS, JR
ZHANG, Y
ALVAREZ, JV
EVANS, RML
FRACHEBOURG, L
JACQUOD, P
NAKAJIMA, T
AOKI, H
TIGGELEN, BAV
MAYNARD, R
KREE, R
RITTENBERG, V
SCHMELLER, A
RYU, S
YU, W
STROUD, D
SAGI, J
SHEKHTMAN, L
SZOLNOKI, A
HEINONEN, O
LUBIN, MI
JOHNSON, MD
CHAU, L
HUANG, D
SEN, D
TU, Y
OHERN, CS
EGOLF, DA
GREENSIDE, HS
JONSSON, B
ULLNER, M
PETERSON, C
SOMMELIUS, O
SODERBERG, B
CAMPOSTRINI, M
PELISSETTO, A
ROSSI, P
VICARI, E
BENDER, CM
MEISINGER, PN
COOPER, F
GAUSTERER, H
LANG, CB
HADASZ, L
NASH, C
YUNG, CM
BATCHELOR, MT
CANGEMI, D
DUNNE, G
DHOKER, E
RUHL, W
TURBINER, A
ILINSKAIA, AV
DESTRI, C
SEGALINI, T
BAUER, M
VALTANCOLI, P
INAMI, T
CHEN, L
GOLDENFELD, N
OONO, Y
KIRCHHOFF, F
GALLATIN, G
DEAVEN, DM
HO, KM
GALLI, G
BRIGGS, EL
SULLIVAN, DJ
BERNHOLC, J
FOX, S
ZEH, HD
EBERLEIN, C
SASIK, R
BRANDT, EH
ARONOV, IE
BELETSKIJ, NN
ROZENBERG, MJ
KOTLIAR, G
KAJUETER, H
THOMAS, GA
RAPKINE, DH
HONIG, JM
METCALF, P
MUCCIOLO, ER
ERTAS, D
ALEMANY, PA
COSTI, TA
KROHA, J
WOLFLE, P
BRUUS, H
DAURIAC, JA
LIECHTENSTEIN, AI
BASTIAANSEN, PJM
KNOPS, HJF
DENNISTON, C
PUSTOGOWA, U
DING, H
BELLMAN, AF
CAMPUZANO, JC
RANDERIA, M
YOKOYA, T
TAKAHASHI, T
KATAYAMAYOSHIDA, H
MOCHIKU, T
KADOWAKI, K
JENNINGS, G
BRIVIO, GP
RUTMAN, Y
KAMIEN, RD
SRIVASTAVA, A
ORGAD, D
LEVIT, S
ICHIOKA, M
HAYASHI, N
ENOMOTO, N
MACHIDA, K
SLEVIN, K
ORIGNAC, E
JAKLIC, J
PRELOVSEK, P
MCCABE, J
WYDRO, T
JANIS, V
SCHLIPF, J
SCHAEFER, R
FLIESSBACH, T
BARAM, A
BAER, M
ZANG, J
SCHMELTZER, ARBD
FYODOROV, YV
MIRLIN, AD
BARKEMA, GT
VEILLEUX, AF
DARE, A
KISKER, J
SANTEN, L
SCHRECKENBERG, M
YOUNG, AP
SI, Q
VARELOGIANNIS, G
PERALI, A
CAPPELLUTI, E
PRATS, JM
LOPEZAGUILAR, F
HE, S
WESTERBERG, E
HANSEN, A
ROUX, S
MULLERGROELING, A
FLEDDERJOHANN, A
KARBACH, M
MUTTER, K
WIELATH, P
FRANCO, M
FREED, DE
WEN, XG
ALBRECHT, M
MEDINA, E
RANGEL, R
GAN, J
HEDEGARD, P
AIFER, EH
GOLDBERG, BB
BROIDO, DA
CASTELLANI, C
CASTRO, CD
BALLESTEROS, HG
MARTINMAYOR, V
SUDUPE, AM
BUTTIKER, M
KIVELSON, SA
CHEN, CM
MACKINTOSH, FC
WILLIAMS, DRM
ALTSHULER, E
WOELFLE, P
TANAKA, KB
MUELLER, R
ISHIKAWA, K
MAEDA, N
TADAKI, K
NISHINO, T
OKUNISHI, K
RASCON, C
MEDEROS, L
NAVASCUES, G
PONOMARENKO, V
EFETOV, K
KAS, J
JANMEY, PA
CHOI, YS
LUCKE, A
SCHWEIZER, T
CHAYES, LV
FEHRENBACHER, R
RODER, H
OSHIKAWA, M
YAMANAKA, M
MIYASHITA, S
OTTINGEN, RK
COOLEN, ACC
LAUGHTON, SN
CHAN, TC
CHENG, KS
ANISIMOV, VI
ALBERS, RC
WILLS, JM
ALOUANI, M
WILKINS, JW
SHEPELYANSKY, D
AIROLDI, M
GRILLI, M
TSEMEKHMAN, K
TSEMEKHMAN, V
WEXLER, C
THOULESS, DJ
GOLDSCHMIDT, YY
SNOKE, DW
CRAWFORD, JD
YANG, SK
GAJEK, Z
JEDRZEJEWSKI, J
LEMANSKI, R
GIUGLIARELLI, G
WELLS, BO
CHOU, FC
ENDOH, Y
JOHNSTON, DC
KASTNER, MA
LEE, YS
SHIRANE, G
TRANQUADA, JM
YAMADA, K
RAMASWAMY, S
ZHU, XM
TAN, Y
CHAYES, L
EMERY, VJ
NUSSINOV, Z
FRICKE, T
PATI, S
CHITRA, R
KRISHNAMURTHY, HR
RAMASESHA, S
MIDDLETON, AA
GOLDONI, G
FASOLINO, A
BARENBLATT, GI
VALIEV, MM
FERNANDO, GW
BIJLSMA, M
STOOF, HTC
RUZIN, IM
COOPER, NR
SEMENCHINSKY, SG
STEHNO, J
LANCASTER, DJ
LORENZO, JJR
DIAS, RG
QUANG, NH
HINRICHSEN, H
KREBS, K
PESCHEL, I
LI, B
ROBNIK, M
LAKDAWALA, P
WENDT, D
SOCCI, ND
ONUCHIC, JN
COVENEY, PV
EMERTON, AN
VILLANOVA, R
KOCIC, A
KOGUT, JB
MEURICE, Y
ORDAZ, G
RODGERS, VGJ
LIPPERT, T
SEYFRIED, A
BODE, A
SCHILLING, K
SEMIKOZ, DV
TKACHEV, II
MARTINS, CJAP
SHELLARD, EPS
ZEITLIN, V
DELFINO, G
KONIK, RM
LAWSON, JW
GURALNIK, GS
BERGES, J
TETRADIS, N
TABAR, MRR
ROUHANI, S
GROSS, A
ANGLIN, J
JAGLA, EA
TIMM, C
LARKIN, A
NORDBORG, H
OTTERLO, AV
FEIGELMAN, M
NAPPI, C
PAGANO, S
FILATRELLA, APG
ROTOLI, G
LEUNG, PW
LAM, N
CLAR, S
SCHWABL, F
PADILLA, FG
KULSKE, C
CATALDO, HM
TEJERO, CF
YAMAMOTO, T
YANG, S
MOUSTAKAS, AL
FISHER, DS
GOMEZSANTOS, G
YAMAGATA, A
POGORELOV, Y
ZANNI, H
KOULAKOV, AA
VIROSZTEK, A
MAKI, K
LOSS, D
MUNKEL, C
HEERMANN, DW
HAATAJA, M
MERIKOSKI, J
ALTLAND, A
HOMES, CC
TIMUSK, T
BONN, DA
CHRISTEN, T
TONEGAWA, T
KABURAGI, M
SORENSEN, E
RICHARDS, HL
SIDES, SW
CHAIKEN, A
MICHEL, RP
WALL, MA
VOLLMAYR, K
BINDER, K
RUIZLORENZO, J
ELRICK, BM
JACOBS, AE
RODGERS, GJ
PETHICK, C
BATROUNI, GG
LARSON, B
GUILLOU, JCL
RAGOUCY, E
HARAN, G
GEHRING, GA
KHUE, NM
MINH, LN
LAN, TT
NHA, DH
SHELTON, DG
NERSESYAN, AA
HORNER, H
KHLEBNIKOV, S
GUDMUNDSSON, V
PALACIOS, JJ
BONCA, J
ASSELMEYER, T
HESS, G
GERHARDTS, RR
KEIPER, R
ZHOU, F
SPIVAK, B
LEADLEY, DR
BURGT, MVD
NICHOLAS, RJ
FOXON, CT
HARRIS, JJ
MELIKALAVERDIAN, V
BONESTEEL, NE
CHEN, T
SEIFERT, M
TOIGO, F
WAGENBLAST, K
BALTIN, R
BRUDER, C
KLESSE, R
METZLER, M
PLUMER, ML
ELLIOTT, RJ
PARK, H
KIM, MH
KWON, S
ENDRES, H
NOACK, RM
MULLEN, K
WALLIN, M
TING, JJL
PEYRARD, M
ZOTOS, X
HOUBIERS, M
SACKETT, CA
HULET, RG
ROKHINSON, LP
SU, B
GOLDMAN, VJ
MUTHUKUMAR, VN
VALENTI, R
GROS, C
JANNER, AM
KOOPMANS, B
JONKMAN, HT
DOLGERT, AJ
BARTOLO, SJD
HIROTA, K
MORITOMO, Y
TOKURA, Y
LOFLAND, SE
BHAGAT, SM
KWON, C
ROBSON, MC
RAMESH, R
SHARMA, RP
REILLY, MJ
SILVA, CRD
MAZZOLO, A
POLLOCK, EL
ZERAH, G
KAMBAYASI, S
CHIHARA, J
WOLENSKI, T
SWIHART, JC
NAKAMURA, T
KUBO, K
SITOTAW, S
SEROTA, RA
SILVER, RN
BAGNOLI, F
LIHN, HTS
CHOI, EJ
KAPLAN, S
DREW, HD
LI, Q
FENNER, DB
ZACHAR, O
ASSAAD, FF
IMADA, M
SINHA, G
CHATTERJEE, R
UEHARA, M
MAJUMDAR, AK
WANG, CT
MAREL, DVD
KIM, JH
RUBEIS, VD
HALLGASS, R
TOSI, P
SHASTRY, BS
WALSTEDT, RE
CAVA, R
CASTELLANO, C
GLOTZER, SC
WINTEL, M
EVERTS, HU
APEL, W
KIM, T
COX, DL
RUJAN, P
WANG, X
MALLWITZ, S
DANNA, J
MELNIKOV, AS
ANANIKIAN, NS
DALLAKIAN, SK
IZMAILIAN, NS
OGANESSYAN, KA
HASEGAWA, H
RZCHOWSKI, MS
INSTITUTION, AMJSC
OZEKI, Y
NONOMURA, Y
BOHM, M
KARAVOLAS, VC
PEETERS, FM
SINGLETON, J
HERLACH, F
HOVE, MV
LI, Z
SCHULKE, L
TSIPER, EV
NEWMAN, CM
JUNKER, G
KARL, H
RODRIGUEZROMO, S
KONNO, H
BARCY, DG
FOSCO, CD
OXMAN, LE
KONIK, R
FLORATOS, EG
NICOLIS, S
ITOH, T
SATO, T
LESAGE, F
PASQUIER, V
VALLERIANI, A
REFSON, K
WOGELIUS, RA
FRASER, DG
LEE, MH
MILMAN, V
PETUKHOV, AG
LAMBRECHT, WRL
SEGALL, B
CORSO, AD
RUBIO, A
GORINGE, CM
WHITE, MJGJA
MIYAMOTO, Y
BLASE, X
COHEN, ML
HAGINO, K
TAKIGAWA, N
ABE, M
OLKHOVSKY, VS
RECAMI, E
RACITI, F
ZAICHENKO, A
AHARONOV, Y
NUSSINOV, S
POPESCU, S
REZNIK, B
ARANSON, I
SHAPIRO, BY
VINOKUR, V
ASAI, Y
SPENCER, S
JENSEN, HJ
KOZIOL, Z
DUNLAP, RA
BYERS, JM
WANG, W
LU, Z
YU, L
HOFSTETTER, E
TAYLOR, JMC
MACKINNON, A
SERVA, M
RABOANARY, J
SALMHOFER, M
LUCE, TA
NAKAUCHI, A
TSUTSUI, K
BLOTE, HWJ
LUIJTEN, E
HERINGA, JR
HASEGAWA, Y
MIYAZAKI, M
HESSLING, JP
GALPERIN, YM
KOVALEV, OV
PISMAK, YM
VECHERNIN, VV
BHADURI, RK
SUZUKI, A
AGTERBERG, DF
WALKER, MB
ALBERTINI, G
DAHMEN, SR
WEHEFRITZ, B
EXNER, P
GAWLISTA, R
TEWARI, S
RUVALDS, J
TRIVEDI, N
HEBERT, M
RAMOS, RA
FEIGENBAUM, JA
FREUND, PGO
KUSAKABE, K
DAURIAC, JCA
DOUCOT, B
AZARIA, P
MOUHANNA, D
REICHHARDT, C
OLSON, CJ
GROTH, J
FIELD, S
BERGERSEN, B
XU, HJ
PANIGRAHI, PK
SIVAKUMAR, M
MELEZHIK, VV
STEPANENKO, AS
HAUGERUD, H
RAVNDAL, F
LANGEN, SAV
BARLOW, MT
HATTORI, K
HATTORI, T
WATANABE, H
ANDERSEN, OK
JEPSEN, O
PAULSEN, F
SHIRASAKI, R
KANYUKA, AK
GLUKHOV, VS
CHAMON, C
WENGEL, C
ZIPPELIUS, A
MILLER, J
MAHATO, MC
MORI, H
HAMADA, M
KATORI, M
TSUKAHARA, H
WU, YS
TASAKI, H
DOLGOV, OV
SHULGA, SV
TEXIER, C
WITTEN, TA
BALJON, ARC
GOLESTANIAN, R
CHEN, DC
GARG, A
KASTRINAKIS, G
SHI, Y
BUENDIA, GM
LEUNG, K
MAK, CH
SZABO, G
GE, M
WANG, YW
XUE, K
CHENG, H
SHAO, J
WANG, L
SHEN, Y
KUANG, LM
CHEN, X
CHEN, GH
GE, ML
KUANG, K
CHEN, G
KUANG, L
IORI, G
SORNETTE, D
BLANTER, YM
KOHRING, GA
SELINGER, JV
SELINGER, RLB
GUNNARSSON, O
MARTIN, RM
AGAM, O
TERENTJEV, EM
WARNER, M
VERWEY, GC
FURTLEHNER, C
DE, SOEOD
ZEGENHAGEN, J
GODRECHE, C
EVANS, MR
SANDOW, S
SPEER, ER
FREY, E
TELLEZ, AG
RIOS, PDL
LINKE, A
ALTEVOGT, P
SIEGERT, M
FRANKLIN, JDF
ZAILER, I
FORD, CJB
SIMPSON, PJ
FROST, JEF
SIMMONS, MY
BELKASRI, A
BUZATU, FD
WINGREEN, NS
JENSEN, I
GUTTMANN, AJ
ANTAL, T
BORSOS, I
ZIA, RKP
RAPOSO, EP
COUTINHOFILHO, MD
TARLIE, MB
YNDURAIN, F
WATSON, J
HEKKING, FWJ
ODINTSOV, AA
REVTEX, P
ESSER, A
GROSSMANN, S
SCHMIDT, T
HAUG, RJ
FOERSTER, KVKA
LUETH, H
YI, H
HEILMANN, RK
SWENDSEN, RH
BURIONI, R
PIGUET, CA
ONO, Y
CLAUGHTON, NR
KRAPIVSKY, P
KOPNIN, NB
VOLOVIK, GE
PARTS, U
AKHEYAN, AZ
KRIVE, IV
SANDSTROM, P
POLYCHRONAKOS, AP
KROMPIEWSKI, S
SUSS, F
KREY, U
BOHLE, A
VILGIS, T
PAINTNER, A
FLEISCHMANN, R
GEISEL, T
HOLZKNECHT, C
KETZMERICK, R
PRICE, R
MACEDO, AMS
KRAUS, M
SEIFERT, U
LIPOWSKY, R
KOPECAST, TK
JOSE, JV
AHN, K
OH, JH
CHANG, KJ
MORENO, J
TALSTRA, JC
GIESE, G
LIN, S
ROAN, S
WHELAN, ND
LEAIRE, GV
CEDEX, O
FOR, FPERC
HOSOYA, A
KOBAYASHI, S
DIGAL, S
SRIVASTAVA, AM
HECKLER, AF
KLUGER, Y
MOTTOLA, E
PAZ, JP
BALACHANDRAN, AP
CHANDAR, L
SATHIAPALAN, B
OLESEN, P
BARTKOWSKI, S
MERSCH, F
NEMNONOV, SN
ALEXANDROV, AS
BRATKOVSKY, AM
PADILLA, J
KANZIEPER, E
LOMBARDO, P
AVIGNON, M
MUTTALIB, KA
ISMAIL, MEH
KAMILLA, RK
OLMSTED, PD
LIU, Y
SOCORRO, J
WAN, Y
ORTIZ, G
LIKHAREV, KK
MATSUOKA, KA
ANDERSEN, JV
KASNER, M
OBERMEIER, T
KELLER, J
YOSHINO, H
SCHNUR, JM
FORSTHOFER, F
KIND, S
PANTIGNY, F
CORRAL, A
PEREZ, CJ
DIAZGUILERA, A
ARENAS, A
ZHANG, G
VANNESTE, C
ARRACHEA, L
GAGLIANO, E
MARKIEWICZ, RS
KNOPOFF, L
KAGAN, Y
JOHANSEN, A
KOSHELEV, AE
MUNEHISA, Y
SONG, J
ULLOA, SE
MORRISON, HL
HAAF, DFBT
LEEUWEN, JMJV
WU, S
YE, J
WU, CQ
HUANG, QF
SUN, X
KATOH, N
PESHEVA, NC
BRANKOV, JG
NIELABA, P
GUHR, T
SUNG, Y
MUKHERJEE, S
NAKANISHI, H
RITSCHEL, U
CZERNER, P
BALDAN, MR
YING, SC
EISENRIEGLER, E
GHEZ, JM
SCHORK, T
LIU, C
VACHASPATI, T
YIP, S
KOREPIN, V
ITS, A
WALDRON, A
OKAMOTO, K
HIDA, K
LOOKMAN, T
ALEXANDER, F
CHEN, S
CERCHIAI, BL
SCHUPP, P
MAKHLIN, YG
DIEHL, HW
LALOUX, L
DIAMOND, PH
GRUZINOV, AV
NEHETE, D
SHAH, V
MURTHY, MVN
SRIVASTAVA, MK
OAKNIN, JH
MARTINMORENO, L
MOUKOURI, S
CARON, LG
KRAMER, EM
LOBKOVSKY, AE
KRAUTH, W
PFANNKUCHE, D
GOLDSTEIN, RE
REOTIER, PDD
YAOUANC, A
LINDOP, NA
BLUMBERG, G
KLEIN, MV
MOZOS, J
GUO, H
UNIVERSITY, S
RAKOWSKI, M
SEN, S
BRECHET, Y
RINBERG, D
CHEREPANOV, V
SHAHAR, D
TSUI, DC
SHAYEGAN, M
SAIKA, Y
POLASZEK, P
LEADBEATER, M
VLAMING, R
PLAKIDA, NM
OUDOVENKO, VS
PANDE, VS
GROSBERG, AY
TANAKA, T
ALCARAZ, FC
XAVIER, JC
KIMURA, T
KUROKI, K
GARCIA, MJ
DAERDEN, F
MARMORKOS, IK
MATULIS, A
ESKES, H
GRIMBERG, R
SAARLOOS, WV
ZAANEN, J
LISE, S
BONFIM, OFDA
REITER, GF
GINOCCHIO, J
HAXTON, W
QUINLAN, SM
STROHM, T
BASTOLLA, U
FERNANDEZROSSIER, J
MUNOZ, L
VINA, L
JENSEN, P
BARABASI, A
LARRALDE, H
EUGENESTANLEY, H
GIORGINI, S
JONGH, MSLDCD
DENTENEER, PJH
KEHREIN, SK
MIELKE, A
VOJTA, T
NARAYANAN, R
MAINKAR, N
BROWNE, DA
CALLAWAY, J
MALVEZZI, AL
WENZEL, W
ZHOU, YK
BELZIG, W
BHATTACHARJYA, A
LIANG, S
RAJPUT, BD
LIN, H
G, KV
M, MN
PANYUKOV, SV
SANO, K
TAKANO, K
HUANG, HY
WU, FY
KUNZ, H
SHANNON, SR
CHOY, TC
FLEMING, RJ
GREEN, AG
KOGAN, II
CHALKER, JT
DOHMEN, A
ALFONSO, DR
NOGUEZ, C
DRABOLD, DA
NAON, CM
REICHENBACH, MCV
TROBO, ML
HAGENAARS, TJ
HIMBERGEN, JEV
TIESINGA, PHE
CLARKE, D
STRONG, S
IANNACCONE, G
PELLEGRINI, B
LEE, HC
MASLOV, S
BAK, P
PELLETIER, JD
KIM, S
THORLEIFSSON, G
CATTERALL, S
DOREY, N
DEY, B
KHARE, A
KUMAR, CN
AITCHISON, IJR
MAVROMATOS, NE
LEINAAS, JM
MATTHIESEN, S
INOMATA, A
WANG, C
YU, R
KRAKAUER, H
RAMBAUT, C
OH, KH
JAFFREZIC, H
KOHANOFF, J
FAYEULLE, S
CHO, J
PESCI, AI
SHELLEY, MJ
KOURES, VG
DZHUNUSHALIEV, VD
CALVANI, P
CAPIZZI, M
LUPI, S
MASELLI, P
PAOLONE, A
ROY, P
NOH, JD
SAINTGREGOIRE, P
SNOECK, E
ROUCAU, C
JANOVEC, V
ZAPPALA, D
BUKMAN, DJ
ZHOU, Y
STAMP, PCE
BORSARI, I
GRAFFI, S
ITALIA, FU
DUBE, M
NICHOLSON, DMC
STOCKS, GM
SHELTON, WA
YANG, H
GURVITZ, SA
PRAGER, YS
BUCHHOLTZ, LJ
BRANDT, U
UEDA, K
KONTANI, H
MONTENEGRO, FC
TOMASSONE, S
ROHLER, J
CUGLIANDOLO, L
ALAVA, MJ
BURSILL, RJ
FARNELL, DJJ
PARKINSON, JB
ZENG, C
GODE, F
DAGUIER, P
HENAUX, S
BOUCHAUD, E
CREUZET, F
FERRERO, ME
NOGUEIRA, FS
ANDA, EV
SCHUTTLER, HB
MIYAZAKI, T
NAKAMURA, I
HUXLEY, A
FLOUQUET, J
BONVILLE, P
IMBERT, P
PARI, P
GUBBENS, PCM
MULDERS, AM
DAMLE, K
MAJUMDAR, S
KALNA, K
MOSKO, M
KOLLAR, M
STRACK, R
MCDONALD, IA
KADIGROBOV, A
SHEKHTER, R
BAGARELLO, F
FERREIRA, MS
CASTRO, JDE
MATHON, J
AVALOS, JB
CONTINENTINO, MA
JAPIASSU, GM
TROPER, A
GARNI, B
MA, J
PERKINS, N
LIU, J
KUECH, TF
LAGALLY, MG
ZHANG, FC
MA, M
MAKSIMOV, AA
PRONIN, DA
ZAITSEV, SV
TARTAKOVSKII, II
KARLOW, M
PAULIKAS, AP
VEAL, BW
HWA, T
POIRIER, M
ANTWERP, UO
LUCHERONI, C
HONE, D
ABBAMONTE, P
MILLER, LL
LEE, WC
GINSBERG, DM
OBRIEN, DL
PEARCE, PA
BEHREND, RE
YIN, L
CHAKRAVARTY, S
PAO, CH
MURRAY, DW
ZIEGLER, W
FRIDKIN, V
ANTON, L
MACRIS, N
MESSAGER, A
UELTSCHI, D
SANTORO, G
PAROLA, A
DEWITZ, JP
HUEBNER, W
PRESTIPINO, S
TOSATT, E
LEDERER, P
GOETTER, R
KROY, K
BAERMANN, M
SACKMANN, E
HEISZ, JM
ZAREMBA, E
GRIFFIN, A
KONDEV, J
ZAPATA, I
SOLS, F
BREZIN, E
COPPERSMITH, SN
LIU, CH
NARAYAN, O
ZALIZNYAK, IA
COZZINI, S
RONCHETTI, M
VOIGT, A
RAMAMOORTHY, M
PANTELIDES, ST
GASPARIAN, V
SAMSON, JH
DATTA, S
DAS, S
SAHDEV, D
MEHROTRA, R
SAITTA, AM
BUDA, F
FIUMARA, G
GIAQUINTA, PV
DUPUIS, N
SENTHIL, T
KITAZAWA, A
LIKOS, CN
SAKAI, T
KOMINEAS, S
PAPANICOLAOU, N
LEIVO, MM
PEKOLA, JP
AVERIN, DV
IMAM, H
ALDABE, F
XU, J
REN, Y
YAN, G
LUBENSKY, TC
HONECKER, A
KLEIN, O
GOLDHABERGORDON, D
GLOSLI, J
KALATSKY, VA
SHAKHNOVICH, KA
PRYADKO, LP
EBELING, M
NADLER, W
CAMELONETO, G
COUTINHO, S
DAOUD, M
KIBLER, M
SREDNICKI, M
CEDEX, GVO
MOLINO, FR
BARTHEZ, JM
AYRAL, A
GUIZARD, C
MARIGNAN, J
HU, BL
SALAS, J
SOKAL, AD
CARVALHO, CAAD
CAVALCANTI, RM
PLYUSHCHAY, M
GAITE, J
MARCHETTI, PA
MUELLER, J
CAUX, JS
DOLAN, BP
PROPITIUS, MDW
KOUBA, R
AMBROSCHDRAXL, C
BEUKEN, JM
BAGEHORN, F
LORENC, J
OLEKSY, C
HENNIG, D
GANDUGLIAPIROVANO, MV
PETERSEN, M
EKARDT, W
PACHECO, JM
SCHOENE, W
RYNDYK, DA
JEUDY, V
COLLAR, JI
GIRARD, TA
LIMAGNE, D
WAYSAND, G
UDVARDI, L
SARTONI, G
SHURYAK, EV
BULUT, N
SIRINGO, F
PUCCI, R
ANGILELLA, GGN
SMIRNOV, AV
CELEBONOVIC, V
KUN, F
ZANCHI, D
CAMACHO, CJ
SMITH, AP
BERTSCH, GF
SCHWARTZ, M
DAVIES, GW
IVANOV, PC
KING, PR
BURKOV, SE
KOLTENBAH, BEC
BRUCH, LW
DIPPEL, S
SAMSON, L
GARCIAVIDAL, FJ
KOLB, EW
BJELIVS, A
LYANDAGELLER, Y
HUKUSHIMA, K
NEMOTO, K
LING, XS
HIGGINS, MJ
LEZEC, SBHJ
TSAI, JS
FUJITA, J
NUMATA, H
NAKAMURA, Y
OCHIAI, Y
POTAPENKO, SY
SCHIOTZ, J
CARLSSON, AE
CANEL, LM
THOMSON, R
BOKIL, HS
ZHAO, X
HAMER, CJ
TAKAHASHI, Y
SNAPIRO, IB
RAMASWAMY, R
RANNINGER, J
ROBIN, JM
CHIAROTTI, GL
SCANDOLO, S
MEYEROVICH, AE
STEPANIANTS, S
HOULE, PA
DONIACH, S
WURTH, P
PRIEZZHEV, VB
CASSANELLO, CR
HONJO, S
RODDICK, E
MUKHERJI, S
ALON, U
EVANS, M
GAN, CK
INOZEMTSEV, V
AFONIN, VV
SCHOMERUS, H
DEEM, MW
JAUREGUI, K
HAUSLER, W
HESS, DW
DEISZ, JJ
SERENE, JW
BLACKMAN, EG
SKORIK, S
SEBA, PV
TATER, M
EK, DV
JAUHO, AP
JOHNSEN, K
DENMARK, TUO
BARTOS, I
SASO, T
ITOH, M
QIN, Q
GAO, Q
BRANDES, T
ONUFRIEV, AV
KALLABIS, H
LANGER, L
BAYOT, V
GRIVEI, E
ISSI, JP
HEREMANS, JP
OLK, CH
STOCKMAN, L
HAESENDONCK, CV
BRUYNSERAEDE, Y
PARK, J
LI, H
WINGREEN, N
THOMAS, LE
WU, MW
HORING, NJM
CUI, HL
STRAMAGLIA, S
RUUTU, VMH
ELTSOV, VB
GILL, AJ
KIBBLE, TWB
KRUSIUS, M
PLACAIS, B
XU, W
RICKERT, M
LATOUR, A
TOMAGNINI, O
ERCOLESSI, F
IARLORI, S
TOLLA, FDD
DODGSON, MJW
ZHUKOV, LE
CARLISLE, JA
TERMINELLO, LJ
JIA, JJ
CALLCOTT, TA
EDERER, DL
DUPRE, T
PIRC, R
BLINC, R
RODRIGUEZLAGUNA, J
KAMPF, AP
ROSA, SL
KENDZIORA, C
MARGARITONDO, G
CHUBUKOV, A
SCHMID, F
HOFSTETTER, W
VENDRUSCOLO, M
RAY, P
DATE, G
NISHIMORI, H
WELLEIN, G
FEHSKE, H
MAZZANTI, F
POLLS, A
SCHOEN, G
PIKUS, FG
EFROS, AL
MAJUMDAR, P
HALLBERG, K
BOUZERAR, G
ILINSKI, K
IZYUMOV, AV
FABROCINI, A
VICHI, L
YANAGISAWA, T
SAGI, JS
STARK, H
CHANG, D
CHIN, C
TZENG, W
LIDSKY, D
YAMANA, M
MUNEHISA, T
OSHANIN, G
BURLATSKY, SF
KSHIRSAGAR, AK
GHAISAS, SV
JATKAR, DP
TOCHISHITA, T
MIZUI, M
KURATSUJI, H
YABU, H
ENGEL, A
WEIGT, M
POSAZHENNIKOVA, AI
SADOVSKII, MV
SMIRNOV, YF
MIGDAL, A
HAMBURGER, DA
YINNON, AT
GERBER, RB
IGURES, RBG
AT, MIA
IRBACK, A
POTTHAST, F
LOVVIK, OM
FARBMAN, I
BENSHAUL, A
CELIK, T
GUNDUC, Y
AYDIN, M
DAGOSTINI, G
MOMEN, A
GRIGNANI, G
SEMENOFF, G
TIRKKONEN, O
RIM, C
MACKENZIE, R
HAGEN, CR
KOREPIN, VE
FERREIRA, LA
GERVAIS, J
GUILLEN, JS
SAVELIEV, MV
GURARIE, V
FIORENTINI, V
STOKBRO, K
VALENTE, R
BARONI, S
BILALBEGOVIC, G
GOEDECKER, S
TETER, M
HUTTER, J
LIU, AY
QUONG, AA
ORDEJON, P
KIM, DH
LIN, K
JAFFE, RL
SU, G
VEKIC, M
VOURDAS, A
KRISHNAMURTHY, S
MONTHUS, ACC
YOR, M
SOMAL, HS
FEENSTRA, BJ
SCHUTZMANN, J
BARBER, ZH
DUIJN, VHM
HIEN, NT
MENOVSKY, AA
